southeastuniversity	Microsoft	1
aghuniversity of scienceandtechnology	Facebook	1
concordiauniversity	Facebook	1
ucsantabarbara	Facebook	1
ohiostateuniversity	Amazon	1
shanghaijiaotonguniversity	Google	1
shanghaijiaotonguniversity	Facebook	1
shanghaijiaotonguniversity	Microsoft	1
university of texasataustin	Google	1
university of texasataustin	Microsoft	1
university of westernaustralia	Amazon	1
university of coloradodenver	Amazon	1
university of coloradodenver	Apple	1
boston university	Amazon	1
boston university	Google	2
boston university	Apple	1
northwestern university	Amazon	2
northwestern university	Facebook	5
northwestern university	Apple	2
university of birmingham	Apple	1
university of californiariverside	Amazon	1
weizmanninstituteofscience	Microsoft	1
bilkentuniversity	Facebook	1
columbia university	Google	2
columbia university	Facebook	7
columbia university	Apple	1
columbia university	Microsoft	1
university of california los angeles	Amazon	2
university of california los angeles	Google	1
university of california los angeles	Facebook	4
university of california los angeles	Apple	3
university of oregon	Apple	1
ucla	Google	1
auburnuniversity	Microsoft	1
university of wyoming	Apple	1
north carolina state university	Amazon	3
north carolina state university	Google	1
north carolina state university	Microsoft	3
north carolina state university	Apple	3
penn state	Microsoft	3
wuhanuniversity	Google	1
university of electronicscienceandtechnologyofchina	Microsoft	1
tulaneuniversity	Facebook	1
university of scienceandtechnologyofchina	Microsoft	1
university of auckland	Microsoft	1
university of california davis	Google	1
university of california davis	Facebook	2
university of california davis	Apple	1
university of arizona	Facebook	1
university of centralflorida	Amazon	1
university of centralflorida	Apple	1
stanford university	Google	3
stanford university	Facebook	3
stanford university	Apple	3
stanford university	Microsoft	1
georgia institute of technology	Amazon	2
georgia institute of technology	Google	1
georgia institute of technology	Facebook	7
georgia institute of technology	Microsoft	3
georgia institute of technology	Apple	7
michigantechnologicaluniversity	Amazon	1
emoryuniversity	Facebook	1
caltech	Facebook	1
university of californiasantabarbara	Google	1
university of californiasantabarbara	Apple	1
university of marylandcollegepark	Amazon	1
rmit university	Apple	2
university of toronto	Apple	3
university of illinois	Amazon	1
university of illinois	Facebook	2
university of illinois	Apple	3
university of illinois	Microsoft	4
xidianuniversity	Facebook	1
university of pittsburgh	Amazon	1
university of pittsburgh	Apple	1
university of utah	Amazon	1
university of utah	Facebook	1
university of utah	Microsoft	1
mcmasteruniversity	Google	1
mcmasteruniversity	Apple	1
lesleycollege	Apple	1
massachusetts institute of technology	Amazon	1
massachusetts institute of technology	Google	4
massachusetts institute of technology	Facebook	2
massachusetts institute of technology	Apple	2
purdue	Google	1
purdue	Facebook	2
university of nebraskalincoln	Google	1
washingtonstateuniversity	Microsoft	1
maharishiuniversity	Microsoft	1
pacificlutheranuniversity	Facebook	1
university of southflorida	Facebook	1
university of kent	Apple	1
wasedauniversity	Microsoft	1
university of massachusetts	Apple	1
brigham young university	Microsoft	2
carnegie mellon university	Amazon	6
carnegie mellon university	Google	6
carnegie mellon university	Facebook	9
carnegie mellon university	Apple	7
carnegie mellon university	Microsoft	1
arizonastateuniversity	Amazon	1
arizonastateuniversity	Google	1
macalestercollege	Microsoft	1
illinoisinstituteoftechnology	Amazon	1
illinoisinstituteoftechnology	Apple	1
university of minnesotatwincities	Amazon	1
ucsandiego	Amazon	1
ucsandiego	Facebook	1
university of alberta	Amazon	1
university of alberta	Apple	2
mcgilluniversity	Amazon	1
mcgilluniversity	Google	1
mcgilluniversity	Microsoft	1
linkpinguniversity	Apple	1
university of wisconsin madison	Amazon	1
